iter	RMSE
0	6611.084079
1	5784.886434
2	5103.507314
3	4590.63012
4	4143.213718
5	3778.756841
6	3443.255668
7	3145.84588
8	2905.630824
9	2720.450924
10	2630.339544
11	2545.261696
12	2466.819119
13	2296.435502
14	2235.219608
15	2174.432614
16	2118.206096
17	2007.980813
18	1882.978996
19	1836.501249
20	1783.941381
21	1699.363221
22	1668.585274
23	1640.4596
24	1601.278828
25	1565.276431
26	1536.066127
27	1513.977359
28	1458.114273
29	1439.76238
30	1405.921298
31	1387.380736
32	1369.983102
33	1334.216666
34	1316.859129
35	1305.04164
36	1266.059914
37	1258.379927
38	1250.296417
39	1238.191109
40	1210.556168
41	1203.433771
42	1163.990569
43	1156.502232
44	1151.282069
45	1127.781376
46	1102.691577
47	1098.338057
48	1074.718936
49	1068.386627
50	1064.34231
51	1049.080538
52	1026.453431
53	1021.700228
54	1017.882545
55	992.382751
56	989.9382346
57	987.547258
58	986.1497535
59	984.9245723
60	967.8134869
61	952.5669318
62	951.123831
63	939.96151
64	912.3192
65	910.8341954
66	898.5606626
67	873.3317906
68	872.311566
69	870.8747247
70	845.4486784
71	844.6614687
72	843.8750568
73	837.0364067
74	835.8519364
75	814.7763125
76	812.7228719
77	811.2888978
78	802.4928682
79	801.1954673
80	794.5588312
81	793.1794641
82	791.6142674
83	782.5942156
84	765.3964939
85	748.0148613
86	742.9023778
87	738.4081849
88	736.3058394
89	724.7049885
90	718.7036353
91	714.4687459
92	706.2497907
93	702.3718598
94	701.6281904
95	701.0178788
96	693.9673446
97	685.6417924
98	678.2425225
99	658.5308807
100	653.5228929
101	648.1106066
102	643.261034
103	636.2568399
104	625.381437
105	623.2094703
106	619.8187036
107	614.962333
108	609.3531633
109	596.8744189
110	586.4994383
111	580.1129125
112	564.3353519
113	561.7855208
114	554.9568968
115	553.0778292
116	552.3622256
117	549.729367
118	547.6519763
119	543.519739
120	538.7187365
121	535.3208601
122	533.1697298
123	527.5891872
124	525.9225231
125	524.840399
126	523.3438618
127	518.5983931
128	513.7233493
129	510.2949529
130	509.2054153
131	505.5701179
132	499.1230454
133	497.8679243
134	492.7351518
135	491.4973286
136	488.2465319
137	485.1688118
138	482.2063048
139	479.2931462
140	478.1353213
141	476.5905293
142	474.9248186
143	471.786666
144	470.9694585
145	467.3798434
146	461.9901169
147	459.6077822
148	455.1684935
149	452.1592574
150	451.0291762
151	442.4228773
152	437.726355
153	434.4523916
154	431.6349347
155	428.5110175
156	424.0153602
157	421.2017262
158	417.6494682
159	416.3149424
160	413.5296087
161	412.5476522
162	408.3237071
163	405.1296986
164	400.2146145
165	396.6191589
166	389.6483849
167	387.6966349
168	384.4919986
169	382.756794
170	379.923141
171	377.0685069
172	375.6786491
173	375.3712794
174	373.28078
175	371.1802747
176	371.02173
177	369.6983423
178	367.3144909
179	364.3553285
180	359.7616234
181	357.88198
182	356.1798177
183	354.3059854
184	353.3121714
185	350.1383555
186	349.0827021
187	344.1662565
188	342.2477638
189	336.0548489
190	334.3156223
191	332.9460549
192	329.2734037
193	326.5188406
194	324.7526674
195	322.8941285
196	321.7347861
197	320.1064173
198	318.9083657
199	318.3104116
200	316.944145
201	315.0087034
202	311.9433123
203	309.1113616
204	307.9773349
205	307.1537872
206	304.8632162
207	299.1516271
208	295.4371335
209	293.7044639
210	292.9170233
211	291.2832637
212	289.0597213
213	285.5184717
214	283.5288531
215	281.7609137
216	280.7275897
217	279.4048276
218	276.3295349
219	275.1854976
220	272.111541
221	271.9972129
222	269.7970127
223	268.3610122
224	265.8238647
225	264.9373484
226	264.012695
227	261.9304589
228	261.0211685
229	260.6577398
230	257.469792
231	256.2162324
232	254.7205931
233	253.0071911
234	250.7825996
235	249.6917473
236	248.6164739
237	247.0542882
238	246.1963306
239	245.1103628
240	244.663548
241	243.6516275
242	241.9613923
243	240.367656
244	239.1122863
245	237.0061489
246	234.556051
247	232.7520565
248	231.6168713
249	230.6985577
250	229.8546928
251	229.1207855
252	228.3109758
253	225.7602691
254	225.0064323
255	224.407015
256	223.3645319
257	221.8435485
258	221.2307738
259	220.2748667
260	219.15895
261	218.5609988
262	216.8318297
263	216.1567665
264	215.9941478
265	215.7625602
266	213.7973631
267	212.6548419
268	212.0765389
269	210.4019479
270	209.9050842
271	209.3965921
272	208.862485
273	207.6561617
274	206.7259448
275	205.4452728
276	203.9552735
277	202.4547974
278	201.8589361
279	201.4121934
280	200.5218986
281	199.5560381
282	198.5401976
283	198.0926199
284	197.6698604
285	197.4721136
286	196.3457464
287	195.9403986
288	195.2867745
289	194.1969477
290	193.2845663
291	191.7725562
292	191.0840021
293	190.307782
294	189.5306875
295	188.7203753
296	187.9094049
297	186.7681824
298	185.9008177
299	185.2468672
