iter	Passed	Remaining
0	29	8774
1	52	7767
2	72	7223
3	93	6923
4	114	6756
5	136	6679
6	158	6640
7	180	6585
8	200	6489
9	224	6508
10	251	6595
11	273	6557
12	295	6517
13	316	6471
14	340	6460
15	361	6415
16	386	6426
17	407	6377
18	427	6318
19	450	6303
20	472	6279
21	492	6224
22	514	6194
23	535	6154
24	558	6138
25	579	6109
26	600	6076
27	623	6055
28	643	6017
29	666	5994
30	688	5970
31	708	5934
32	729	5898
33	750	5873
34	774	5861
35	796	5843
36	817	5810
37	839	5788
38	862	5772
39	883	5742
40	908	5736
41	930	5714
42	956	5717
43	976	5678
44	997	5654
45	1018	5621
46	1040	5599
47	1060	5567
48	1081	5539
49	1105	5527
50	1125	5493
51	1148	5479
52	1172	5462
53	1192	5431
54	1212	5399
55	1236	5387
56	1257	5360
57	1276	5324
58	1295	5293
59	1320	5281
60	1342	5260
61	1363	5232
62	1383	5204
63	1406	5187
64	1426	5158
65	1447	5133
66	1467	5104
67	1489	5083
68	1509	5052
69	1533	5038
70	1557	5023
71	1577	4993
72	1598	4972
73	1623	4959
74	1644	4934
75	1668	4918
76	1689	4892
77	1708	4861
78	1730	4841
79	1751	4816
80	1773	4794
81	1793	4768
82	1817	4751
83	1843	4740
84	1866	4720
85	1891	4706
86	1911	4680
87	1932	4655
88	1953	4631
89	1975	4610
90	1996	4584
91	2016	4558
92	2039	4539
93	2065	4525
94	2087	4504
95	2110	4484
96	2131	4460
97	2154	4441
98	2173	4413
99	2195	4391
100	2219	4372
101	2241	4351
102	2261	4325
103	2282	4301
104	2307	4285
105	2332	4269
106	2355	4249
107	2376	4224
108	2400	4206
109	2421	4183
110	2444	4161
111	2465	4139
112	2489	4119
113	2508	4093
114	2531	4073
115	2554	4051
116	2575	4028
117	2598	4007
118	2621	3987
119	2642	3963
120	2664	3941
121	2685	3918
122	2705	3893
123	2731	3876
124	2755	3857
125	2774	3831
126	2793	3805
127	2816	3784
128	2836	3759
129	2856	3735
130	2882	3718
131	2903	3695
132	2925	3673
133	2947	3651
134	2972	3633
135	2992	3609
136	3014	3586
137	3038	3566
138	3061	3546
139	3086	3527
140	3105	3502
141	3126	3479
142	3150	3458
143	3172	3436
144	3195	3416
145	3222	3399
146	3246	3379
147	3270	3359
148	3293	3337
149	3319	3319
150	3348	3304
151	3375	3287
152	3400	3267
153	3426	3248
154	3456	3233
155	3482	3214
156	3509	3196
157	3536	3178
158	3561	3158
159	3593	3144
160	3614	3120
161	3637	3098
162	3666	3081
163	3695	3064
164	3721	3044
165	3749	3026
166	3773	3004
167	3799	2985
168	3827	2966
169	3854	2947
170	3880	2927
171	3903	2904
172	3928	2883
173	3949	2859
174	3977	2841
175	4008	2824
176	4035	2804
177	4058	2782
178	4085	2761
179	4111	2741
180	4141	2723
181	4164	2700
182	4189	2678
183	4215	2657
184	4242	2637
185	4266	2614
186	4294	2595
187	4320	2573
188	4345	2552
189	4373	2531
190	4396	2509
191	4420	2486
192	4449	2466
193	4471	2443
194	4521	2434
195	4563	2421
196	4593	2401
197	4617	2378
198	4638	2354
199	4662	2331
200	4685	2307
201	4710	2285
202	4735	2262
203	4756	2238
204	4779	2214
205	4802	2191
206	4826	2168
207	4848	2144
208	4872	2121
209	4895	2098
210	4918	2074
211	4940	2050
212	4961	2026
213	4985	2003
214	5005	1979
215	5028	1955
216	5049	1931
217	5072	1908
218	5095	1884
219	5119	1861
220	5142	1838
221	5162	1814
222	5187	1791
223	5209	1767
224	5229	1743
225	5249	1718
226	5272	1695
227	5294	1671
228	5314	1647
229	5333	1623
230	5358	1600
231	5378	1576
232	5398	1552
233	5419	1528
234	5441	1505
235	5463	1481
236	5486	1458
237	5506	1434
238	5528	1410
239	5548	1387
240	5569	1363
241	5593	1340
242	5617	1317
243	5637	1293
244	5659	1270
245	5682	1247
246	5705	1224
247	5729	1201
248	5750	1177
249	5776	1155
250	5796	1131
251	5818	1108
252	5838	1084
253	5861	1061
254	5882	1038
255	5903	1014
256	5926	991
257	5949	968
258	5973	945
259	5991	921
260	6012	898
261	6033	875
262	6054	851
263	6074	828
264	6096	805
265	6117	781
266	6140	758
267	6162	735
268	6183	712
269	6207	689
270	6227	666
271	6248	643
272	6273	620
273	6295	597
274	6319	574
275	6344	551
276	6364	528
277	6387	505
278	6409	482
279	6430	459
280	6455	436
281	6482	413
282	6509	391
283	6533	368
284	6559	345
285	6579	322
286	6601	299
287	6626	276
288	6652	253
289	6676	230
290	6701	207
291	6724	184
292	6746	161
293	6766	138
294	6792	115
295	6816	92
296	6845	69
297	6870	46
298	6895	23
299	6916	0
