iter	MAE
0	569.9961738
1	569.9873839
2	569.9788215
3	569.9683698
4	569.9598269
5	569.950292
6	569.9405559
7	569.9318622
8	569.9167138
9	569.9083462
10	569.8988212
11	569.8897207
12	569.881179
13	569.8719902
14	569.8631042
15	569.8548469
16	569.8455653
17	569.8370996
18	569.8279343
19	569.8201336
20	569.8112472
21	569.8022492
22	569.7943458
23	569.7792699
24	569.7705191
25	569.7610799
26	569.7526508
27	569.7440386
28	569.7365135
29	569.7292901
30	569.7213898
31	569.7133678
32	569.7061996
33	569.6987676
34	569.6910238
35	569.6827716
36	569.675614
37	569.6684897
38	569.6614733
39	569.6533703
40	569.6453001
41	569.6376199
42	569.6295844
43	569.6215684
44	569.6137026
45	569.6065978
46	569.5991164
47	569.591674
48	569.5823325
49	569.5750931
50	569.5685423
51	569.5621553
52	569.5561
53	569.5488982
54	569.5422233
55	569.5359354
56	569.5242488
57	569.5182703
58	569.5120247
59	569.5061154
60	569.5003372
61	567.5818601
62	567.5763048
63	567.5706241
64	567.5615634
65	567.5527268
66	567.5471532
67	567.5256066
68	567.5200523
69	567.5064952
70	567.4965413
71	567.4856307
72	567.4774588
73	567.4623045
74	567.4536089
75	567.4319985
76	567.4244214
77	567.4169486
78	567.4090991
79	567.4014002
80	567.3938861
81	567.3862642
82	567.375936
83	567.3685325
84	567.3613557
85	567.3544117
86	567.3458819
87	567.3283307
88	567.3182016
89	567.3112081
90	567.3020628
91	567.2978515
92	567.2904849
93	567.254783
94	567.2464529
95	567.2422366
96	567.2380577
97	567.202989
98	567.1874466
99	567.1844748
100	567.1811916
101	567.1779234
102	567.1690798
103	567.1659584
104	567.1603178
105	567.1545157
106	567.1485527
107	567.1428973
108	567.1369598
109	567.1294316
110	567.1235202
111	567.1105087
112	567.1046476
113	567.0987672
114	567.0928987
115	567.08756
116	567.0823177
117	567.0771047
118	567.0711731
119	567.0655246
120	567.060106
121	567.0550756
122	567.0500197
123	567.0450797
124	567.0401784
125	567.0351094
126	567.0302403
127	567.0278187
128	567.0228859
129	567.0163034
130	567.0114368
131	567.0068388
132	566.9977395
133	566.9888117
134	566.9878248
135	566.5277863
136	566.5185969
137	566.5176187
138	565.946029
139	565.9450662
140	565.9441184
141	565.9431674
142	565.9175161
143	565.9164498
144	565.8871123
145	565.8861724
146	565.8296165
147	565.8286852
148	565.7862519
149	565.671635
150	565.5882487
151	565.5748426
152	565.3558422
153	565.1919605
154	565.0837089
155	565.0765384
156	564.8714373
157	564.6261878
158	564.3583882
159	564.3575121
160	564.1615422
161	564.1606817
162	564.0540772
163	563.834455
164	563.8335212
165	563.8219527
166	563.5372575
167	563.5339173
168	563.5314164
169	563.5032032
170	563.5001492
171	563.4970793
172	563.493546
173	563.4919969
174	563.4876794
175	563.4845046
176	563.4811892
177	563.4769338
178	563.4737109
179	563.4694808
180	563.466367
181	563.4621727
182	563.4547881
183	563.4506401
184	563.3982856
185	563.394247
186	563.3902287
187	563.3878662
188	563.3844069
189	563.3804249
190	563.3764639
191	563.3725398
192	563.369174
193	563.3652874
194	563.3614067
195	563.3512471
196	563.3474456
197	563.3444898
198	563.3407237
199	563.3320462
200	563.3283319
201	563.3246571
202	563.3221849
203	563.3185589
204	563.3149653
205	563.3114079
206	563.3076396
207	563.3041221
208	563.3017652
209	563.2858022
210	563.2823339
211	563.278867
212	563.2764842
213	563.265099
214	563.2617006
215	563.2583248
216	563.2549901
217	563.2516722
218	563.2483472
219	563.1987726
220	563.1962476
221	563.1935846
222	563.190705
223	563.158326
224	563.155519
225	563.1526969
226	563.1490505
227	563.1462695
228	563.1435074
229	563.1409708
230	563.1382403
231	563.1315433
232	563.1288861
233	563.1262581
234	563.1236642
235	563.1207897
236	562.8893171
237	562.885795
238	562.8837555
239	562.8802665
240	562.8745192
241	562.8720658
242	562.8686583
243	562.8652658
244	562.7495083
245	562.7470725
246	562.7408338
247	562.7384601
248	562.7351468
249	562.7318501
250	562.726311
251	562.7189831
252	562.7106343
253	561.2591518
254	561.2560814
255	561.2421321
256	561.239221
257	561.2347269
258	561.2330343
259	561.1574346
260	561.1557734
261	560.9374968
262	560.5717436
263	560.5688734
264	560.5661991
265	560.3440315
266	560.3425414
267	560.3348447
268	560.332179
269	560.2124751
270	559.5664655
271	559.5645967
272	557.3702911
273	557.368219
274	556.94213
275	556.123368
276	556.1227548
277	555.5829487
278	555.5824026
279	555.5797452
280	554.9822791
281	554.9818215
