iter	Passed	Remaining
0	11	55178
1	22	56580
2	33	55129
3	42	53592
4	53	52982
5	63	52521
6	73	52104
7	82	51687
8	92	51229
9	102	51037
10	112	51063
11	123	51409
12	135	51795
13	144	51554
14	155	51681
15	165	51707
16	176	51710
17	186	51565
18	196	51471
19	206	51368
20	217	51578
21	229	51878
22	243	52596
23	253	52586
24	264	52616
25	275	52610
26	287	53023
27	301	53449
28	313	53686
29	324	53718
30	334	53568
31	343	53405
32	355	53445
33	366	53471
34	376	53419
35	387	53424
36	397	53275
37	406	53126
38	416	52980
39	426	52842
40	435	52680
41	445	52593
42	455	52499
43	465	52429
44	475	52393
45	485	52326
46	495	52246
47	505	52198
48	515	52090
49	525	52063
50	535	51980
51	545	51928
52	555	51889
53	566	51845
54	576	51847
55	586	51789
56	596	51708
57	606	51669
58	616	51603
59	625	51538
60	635	51472
61	645	51401
62	655	51355
63	666	51397
64	678	51492
65	687	51398
66	696	51301
67	705	51174
68	714	51090
69	723	50933
70	732	50870
71	741	50736
72	750	50642
73	759	50529
74	768	50438
75	776	50317
76	785	50205
77	793	50065
78	802	49957
79	810	49869
80	820	49802
81	828	49687
82	836	49572
83	845	49489
84	854	49391
85	862	49297
86	871	49190
87	879	49094
88	887	48983
89	896	48930
90	905	48822
91	913	48723
92	921	48636
93	930	48538
94	938	48437
95	947	48377
96	961	48594
97	969	48496
98	977	48377
99	985	48307
100	994	48236
101	1003	48196
102	1012	48153
103	1021	48109
104	1031	48064
105	1040	48020
106	1049	47973
107	1058	47928
108	1066	47866
109	1075	47819
110	1083	47734
111	1092	47661
112	1100	47588
113	1109	47543
114	1118	47492
115	1126	47424
116	1135	47389
117	1144	47338
118	1152	47268
119	1160	47208
120	1169	47166
121	1178	47100
122	1186	47057
123	1195	47001
124	1203	46953
125	1212	46902
126	1220	46844
127	1229	46810
128	1238	46760
129	1247	46729
130	1255	46667
131	1263	46613
132	1272	46579
133	1280	46514
134	1289	46460
135	1297	46405
136	1305	46334
137	1313	46278
138	1321	46198
139	1329	46148
140	1338	46114
141	1347	46100
142	1355	46024
143	1363	45972
144	1371	45927
145	1379	45877
146	1387	45806
147	1395	45758
148	1403	45691
149	1411	45625
150	1418	45563
151	1426	45497
152	1433	45426
153	1441	45363
154	1448	45291
155	1456	45239
156	1464	45172
157	1472	45110
158	1479	45040
159	1488	45039
160	1496	44979
161	1505	44953
162	1512	44896
163	1520	44842
164	1528	44803
165	1536	44757
166	1545	44719
167	1553	44668
168	1561	44638
169	1570	44625
170	1578	44582
171	1587	44551
172	1595	44507
173	1603	44478
174	1611	44432
175	1619	44390
176	1627	44355
177	1636	44322
178	1645	44327
179	1654	44303
180	1662	44272
181	1671	44241
182	1679	44201
183	1687	44156
184	1694	44106
185	1702	44074
186	1710	44036
187	1719	44007
188	1727	43968
189	1735	43929
190	1743	43890
191	1751	43857
192	1760	43836
193	1768	43803
194	1776	43763
195	1783	43723
196	1791	43686
197	1800	43671
198	1809	43647
199	1816	43606
200	1824	43570
201	1834	43568
202	1842	43541
203	1850	43509
204	1859	43486
205	1868	43482
206	1876	43444
207	1884	43411
208	1893	43404
209	1901	43367
210	1909	43340
211	1917	43309
212	1925	43279
213	1933	43240
214	1952	43450
215	1960	43430
216	1968	43397
217	1977	43372
218	1984	43333
219	1992	43299
220	2000	43268
221	2008	43231
222	2016	43198
223	2024	43161
224	2033	43146
225	2041	43119
226	2049	43093
227	2059	43114
228	2069	43110
229	2078	43099
230	2088	43114
231	2097	43116
232	2107	43114
233	2117	43135
234	2127	43138
235	2135	43102
236	2143	43075
237	2151	43051
238	2159	43024
239	2167	42990
240	2175	42956
241	2183	42928
242	2191	42901
243	2199	42872
244	2207	42844
245	2215	42821
246	2223	42782
247	2231	42767
248	2240	42741
249	2248	42721
250	2256	42701
251	2264	42670
252	2272	42638
253	2280	42609
254	2288	42579
255	2296	42551
256	2303	42517
257	2311	42489
258	2320	42473
259	2328	42446
260	2336	42426
261	2344	42406
262	2352	42374
263	2360	42345
264	2368	42317
265	2376	42295
266	2384	42269
267	2392	42241
268	2400	42221
269	2408	42197
270	2418	42194
271	2425	42165
272	2433	42134
273	2441	42110
274	2449	42084
275	2457	42056
276	2465	42035
277	2473	42011
278	2481	41990
279	2488	41956
280	2497	41937
281	2505	41912
282	2513	41891
283	2521	41866
284	2529	41851
285	2537	41824
286	2545	41804
287	2553	41781
288	2562	41764
289	2570	41748
290	2578	41719
291	2586	41696
292	2594	41678
293	2602	41658
294	2610	41642
295	2619	41622
296	2627	41606
297	2635	41588
298	2643	41564
299	2651	41547
300	2660	41526
301	2667	41500
302	2675	41477
303	2683	41448
304	2690	41422
305	2698	41401
306	2706	41378
307	2715	41360
308	2722	41337
309	2730	41313
310	2738	41290
311	2746	41263
312	2754	41241
313	2762	41219
314	2769	41194
315	2777	41169
316	2784	41142
317	2793	41122
318	2800	41098
319	2809	41081
320	2816	41060
321	2824	41038
322	2832	41012
323	2840	40991
324	2848	40969
325	2856	40952
326	2865	40943
327	2872	40919
328	2880	40901
329	2888	40878
330	2896	40862
331	2904	40836
332	2912	40814
333	2920	40799
334	2943	40983
335	2951	40964
336	2959	40949
337	2967	40925
338	2974	40901
339	2982	40876
340	2990	40859
341	2998	40840
342	3006	40814
343	3014	40798
344	3023	40792
345	3031	40778
346	3039	40761
347	3047	40741
348	3055	40722
349	3064	40710
350	3072	40688
351	3080	40672
352	3088	40657
353	3096	40636
354	3104	40616
355	3112	40603
356	3120	40587
357	3128	40568
358	3136	40546
359	3144	40522
360	3151	40503
361	3160	40489
362	3168	40473
363	3176	40451
364	3184	40435
365	3192	40417
366	3199	40394
367	3207	40376
368	3215	40358
369	3223	40340
370	3231	40318
371	3240	40315
372	3248	40299
373	3257	40286
374	3265	40278
375	3274	40265
376	3281	40244
377	3290	40228
378	3297	40210
379	3305	40192
380	3314	40178
381	3322	40163
382	3331	40158
383	3339	40138
384	3347	40125
385	3355	40104
386	3362	40083
387	3371	40074
388	3379	40056
389	3386	40033
390	3394	40017
391	3403	40004
392	3410	39984
393	3418	39966
394	3426	39949
395	3434	39931
396	3442	39912
397	3450	39897
398	3458	39880
399	3466	39859
400	3474	39842
401	3482	39832
402	3490	39811
403	3498	39800
404	3506	39785
405	3514	39768
406	3522	39756
407	3530	39739
408	3538	39719
409	3546	39701
410	3553	39678
411	3561	39658
412	3569	39641
413	3577	39631
414	3585	39614
415	3593	39602
416	3601	39582
417	3609	39562
418	3616	39542
419	3624	39524
420	3632	39506
421	3640	39496
422	3648	39476
423	3656	39460
424	3664	39447
425	3672	39430
426	3680	39415
427	3688	39397
428	3696	39382
429	3704	39367
430	3712	39352
431	3720	39342
432	3729	39333
433	3737	39316
434	3744	39298
435	3752	39284
436	3760	39265
437	3768	39251
438	3776	39236
439	3784	39223
440	3793	39212
441	3800	39195
442	3809	39182
443	3817	39172
444	3826	39163
445	3834	39154
446	3842	39138
447	3850	39125
448	3858	39109
449	3866	39095
450	3874	39081
451	3882	39064
452	3890	39049
453	3899	39042
454	3906	39023
455	3914	39007
456	3943	39201
457	3952	39194
458	3960	39185
459	3968	39167
460	3977	39158
461	3984	39141
462	3992	39126
463	4000	39110
464	4010	39109
465	4018	39099
466	4026	39086
467	4035	39077
468	4042	39058
469	4050	39043
470	4059	39033
471	4067	39019
472	4075	39004
473	4083	38989
474	4091	38975
475	4099	38962
476	4107	38946
477	4115	38932
478	4123	38915
479	4130	38900
480	4139	38893
481	4147	38876
482	4155	38865
483	4164	38856
484	4172	38843
485	4180	38830
486	4188	38815
487	4196	38802
488	4204	38790
489	4212	38774
490	4220	38758
491	4228	38740
492	4235	38723
493	4244	38715
494	4252	38706
495	4260	38690
496	4270	38693
497	4279	38689
498	4288	38680
499	4297	38673
500	4305	38664
501	4314	38656
502	4322	38640
503	4329	38625
504	4338	38612
505	4345	38595
506	4353	38581
507	4361	38563
508	4369	38550
509	4377	38540
510	4385	38524
511	4393	38509
512	4401	38499
513	4409	38484
514	4418	38478
515	4426	38464
516	4434	38450
